Name,Birth Country,Birth Decade,Birth Year,Gender,Latitude,Longitude,Tate URL
"Monet, Claude",France,1/1/1840,1/1/1840,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/claude-monet-1652
"Rodin, Auguste",France,1/1/1840,1/1/1840,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/auguste-rodin-1860
"Redon, Odilon",France,1/1/1840,1/1/1840,Male,44.8378,-0.57918,http://www.tate.org.uk/art/artists/odilon-redon-2243
"Morisot, Berthe",France,1/1/1840,1/1/1841,Female,47.081,2.39878,http://www.tate.org.uk/art/artists/berthe-morisot-1663
"Guillaumin, Armand",France,1/1/1840,1/1/1841,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/armand-guillaumin-1228
"Cazin, Jean-Charles",France,1/1/1840,1/1/1841,Male,50.6346,1.75437,http://www.tate.org.uk/art/artists/jean-charles-cazin-874
"Renoir, Auguste",France,1/1/1840,1/1/1841,Male,45.8336,1.2611,http://www.tate.org.uk/art/artists/auguste-renoir-1828
"Rousseau, Henri",France,1/1/1840,1/1/1844,Male,48.0785,-0.766991,http://www.tate.org.uk/art/artists/henri-rousseau-le-douanier-1877
"Roussel, Théodore",France,1/1/1840,1/1/1847,Male,47.7483,-3.37024,http://www.tate.org.uk/art/artists/theodore-roussel-462
"Gauguin, Paul",France,1/1/1840,1/1/1848,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/paul-gauguin-1144
"Lanteri, Edouard",France,1/1/1840,1/1/1848,Male,47.7982,3.57378,http://www.tate.org.uk/art/artists/edouard-lanteri-326
"Schuffenecker, Emile",France,1/1/1850,1/1/1851,Male,43.401,1.1353,http://www.tate.org.uk/art/artists/emile-schuffenecker-1909
"Forain, Jean-Louis",France,1/1/1850,1/1/1852,Male,49.2583,4.0317,http://www.tate.org.uk/art/artists/jean-louis-forain-1103
"Goeneutte, Norbert",France,1/1/1850,1/1/1854,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/norbert-goeneutte-1181
"Helleu, Paul",France,1/1/1850,1/1/1859,Male,47.6582,-2.76085,http://www.tate.org.uk/art/artists/paul-helleu-1265
"Seurat, Georges",France,1/1/1850,1/1/1859,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/georges-seurat-1926
"Maufra, Maxime",France,1/1/1860,1/1/1861,Male,47.2184,-1.55362,http://www.tate.org.uk/art/artists/maxime-maufra-1595
"Anquetin, Louis",France,1/1/1860,1/1/1861,Male,49.1182,0.958211,http://www.tate.org.uk/art/artists/louis-anquetin-651
"Maillol, Aristide",France,1/1/1860,1/1/1861,Male,42.4834,3.12887,http://www.tate.org.uk/art/artists/aristide-maillol-1555
"Serusier, Paul",France,1/1/1860,1/1/1863,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/paul-serusier-1924
"Pissarro, Lucien",France,1/1/1860,1/1/1863,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/lucien-pissarro-1777
"Toulouse-Lautrec, Henri de",France,1/1/1860,1/1/1864,Male,43.9251,2.14864,http://www.tate.org.uk/art/artists/henri-de-toulouse-lautrec-2058
"Bell, Laura Anning",France,1/1/1860,1/1/1867,Female,46.2276,2.21375,http://www.tate.org.uk/art/artists/laura-anning-bell-728
"Colton, William Robert",France,1/1/1860,1/1/1867,Male,48.8566,2.35222,http://www.tate.org.uk/art/artists/william-robert-colton-933
"Bonnard, Pierre",France,1/1/1860,1/1/1867,Male,48.7898,2.28718,http://www.tate.org.uk/art/artists/pierre-bonnard-781
"Villard, Antoine",France,1/1/1860,1/1/1867,Male,46.2276,2.21375,http://www.tate.org.uk/art/artists/antoine-villard-2106
"Vuillard, Edouard",France,1/1/1860,1/1/1868,Male,46.4941,5.38901,http://www.tate.org.uk/art/artists/edouard-vuillard-2112
